tax	barcode01	barcode02	barcode03	barcode04	barcode06	barcode07	barcode08	total
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Pedomicrobium	37.0	11.0	58.0	0.0	12.0	7.0	0.0	125.0
Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Occallatibacter	13.0	9.0	12.0	58.0	6.0	25.0	0.0	123.0
Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Terriglobus	6.0	28.0	7.0	41.0	3.0	35.0	0.0	120.0
Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter	16.0	21.0	21.0	38.0	13.0	4.0	0.0	113.0
Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Paraflavitalea	15.0	29.0	30.0	4.0	22.0	13.0	0.0	113.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium	14.0	17.0	16.0	28.0	23.0	14.0	0.0	112.0
Bacteria;Pseudomonadati;Acidobacteriota;Blastocatellia;Blastocatellales;Arenimicrobiaceae;Brevitalea	25.0	19.0	18.0	0.0	45.0	4.0	0.0	111.0
Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Edaphobacter	9.0	29.0	5.0	57.0	3.0	7.0	0.0	110.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Dokdonella	12.0	50.0	23.0	0.0	6.0	13.0	0.0	104.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae;Gemmata	18.0	28.0	7.0	8.0	24.0	17.0	0.0	102.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Caldimonas	16.0	21.0	29.0	3.0	20.0	9.0	0.0	98.0
Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Priestia	2.0	1.0	4.0	4.0	33.0	53.0	0.0	97.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Azospirillaceae;Skermanella	1.0	1.0	7.0	64.0	12.0	8.0	0.0	93.0
Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae;Zavarzinella	10.0	17.0	11.0	13.0	23.0	19.0	0.0	93.0
Bacteria;Pseudomonadati;Planctomycetota;Phycisphaerae;Tepidisphaerales;Tepidisphaeraceae;Tepidisphaera	10.0	11.0	13.0	26.0	21.0	11.0	0.0	92.0
Bacteria;Pseudomonadati;Verrucomicrobiota;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter	10.0	5.0	67.0	1.0	3.0	6.0	0.0	92.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter	8.0	19.0	16.0	27.0	16.0	5.0	0.0	91.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylocystis	12.0	11.0	10.0	49.0	1.0	8.0	0.0	91.0
Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Reyranellaceae;Reyranella	18.0	16.0	26.0	6.0	21.0	3.0	0.0	90.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiales_Incertae_sedis;Rhizobacter	10.0	19.0	19.0	1.0	18.0	18.0	0.0	85.0
Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Georgfuchsia	23.0	21.0	14.0	1.0	13.0	12.0	0.0	84.0
